"Région de Bruxelles";"Nom français";"Nom néerlandais";"Type";"Province";"Superficie (km²)";"Population (2008)";"Densité (hab./km²)";"Sections";"Carte"
"Région wallonne";"Geer";"Geer";"Commune";"Liège";"23,62";"2 979";126;"Boëlhe, Darion, Geer, Hollogne-sur-Geer, Lens-Saint-Servais, Ligney, Omal";
"Région wallonne";"Gembloux";"Gembloers";"Commune";"Namur";"95,86";"22 430";234;"Beuzet, Bossière, Bothey, Corroy-le-Château, Ernage, Gembloux, Grand-Leez, Grand-Manil, Isnes, Lonzée, Mazy, Sauvenière";
"Région wallonne";"Genappe";"Genepiën";"Ville";"Brabant wallon";"89,57";"14 405";161;"Baisy-Thy, Bousval, Genappe, Glabais, Houtain-le-Val, Loupoigne, Vieux-Genappe, Ways";
"Région wallonne";"Gerpinnes";"Gerpinnes";"Commune";"Hainaut";"47,1";"12 033";255;"Acoz, Gerpinnes, Gougnies, Joncret, Loverval, Villers-Poterie";
"Région wallonne";"Gesves";"Gesves";"Commune";"Namur";"64,92";"6 565";101;"Faulx-les-Tombes, Gesves, Haltinne, Mozet, Sorée";
"Région wallonne";"Gouvy";"Gouvy";"Commune";"Luxembourg";"165,11";"4 826";29;"Beho, Bovigny, Cherain, Limerlé, Montleban";
"Région wallonne";"Grâce-Hollogne";"Grâce-Hollogne";"Commune";"Liège";"34,24";"21 813";637;"Bierset, Grâce-Berleur, Grâce-Hollogne, Hollogne-aux-Pierres, Horion-Hozémont, Mons-lez-Liège, Velroux";
"Région wallonne";"Grez-Doiceau";"Graven";"Commune";"Brabant wallon";"55,44";"12 607";227;"Archennes, Biez, Bossut-Gottechain, Grez-Doiceau, Nethen";
"Région wallonne";"Habay";"Habay";"Commune";"Luxembourg";"103,64";"8 026";77;"Anlier, Habay-la-Neuve, Habay-la-Vieille, Hachy, Houdemont, Marbehan, Rulles";
"Région wallonne";"Ham-sur-Heure-Nalinnes";"Ham-sur-Heure-Nalinnes";"Commune";"Hainaut";"45,68";"13 372";293;"Cour-sur-Heure, Ham-sur-Heure, Jamioulx, Marbaix, Nalinnes";
"Région wallonne";"Hamoir";"Hamoir";"Commune";"Liège";"27,8";"3 620";130;"Comblain-Fairon, Filot, Hamoir";
"Région wallonne";"Hamois";"Hamois";"Commune";"Namur";"76,42";"6 752";88;"Achet, Emptinne, Hamois, Mohiville, Natoye, Schaltin, Scy";
"Région wallonne";"Hannut";"Hannuit";"Ville";"Liège";"86,53";"14 724";170;"Abolens, Avernas-le-Bauduin, Avin, Bertrée, Blehen, Cras-Avernas, Crehen, Grand-Hallet, Hannut, Lens-Saint-Remy, Merdorp, Moxhe, Petit-Hallet, Poucet, Thisnes, Trognée, Villers-le-Peuplier, Wansin";
"Région wallonne";"Hastière";"Hastière";"Commune";"Namur";"56,46";"5 418";96;"Agimont, Blaimont, Hastière-Lavaux, Hastière-par-delà, Heer, Hermeton-sur-Meuse, Waulsort";
"Région wallonne";"Havelange";"Havelange";"Commune";"Namur";"104,73";"4 981";48;"Barvaux-Condroz, Flostoy, Havelange, Jeneffe, Maffe, Méan, Miécret, Porcheresse, Verlée";
"Région wallonne";"Hélécine";"Hélécine";"Commune";"Brabant wallon";"16,62";"3 147";189;"Linsmeau, Neerheylissem, Opheylissem";
"Région wallonne";"Hensies";"Hensies";"Commune";"Hainaut";"25,99";"6 726";259;"Hainin, Hensies, Montrœul-sur-Haine, Thulin";
"Région wallonne";"Herbeumont";"Herbeumont";"Commune";"Luxembourg";"58,81";"1 559";27;"Herbeumont, Saint-Médard, Straimont";
"Région wallonne";"Héron";"Héron";"Commune";"Liège";"38,32";"4 656";122;"Couthuin, Héron (commune), Lavoir, Waret-l'Évêque";
"Région wallonne";"Herstal";"Herstal";"Commune";"Liège";"23,54";"37 685";"1 601";"Herstal, Liers, Milmort, Vottem";
"Région wallonne";"Herve";"Herve";"Ville";"Liège";"56,84";"16 755";295;"Battice, Bolland, Chaineux, Charneux, Grand-Rechain, Herve, Julémont, Xhendelesse";
"Région wallonne";"Honnelles";"Honnelles";"Commune";"Hainaut";"43,65";"5 026";115;"Angre, Angreau, Athis, Autreppe, Erquennes, Fayt-le-Franc, Marchipont, Montignies-sur-Roc, Onnezies, Roisin";
"Région wallonne";"Hotton";"Hotton";"Commune";"Luxembourg";"57,32";"5 109";89;"Fronville, Hampteau, Hotton, Marenne";
"Région wallonne";"Houffalize";"Houffalize";"Ville";"Luxembourg";"166,58";"4 819";29;"Houffalize, Mabompré, Mont, Nadrin, Tailles, Tavigny, Wibrin";
"Région wallonne";"Houyet";"Houyet";"Commune";"Namur";"122,31";"4 494";37;"Celles, Ciergnon, Custinne, Finnevaux, Hour, Houyet, Hulsonniaux, Mesnil-Église, Mesnil-Saint-Blaise, Wanlin";
"Région wallonne";"La Hulpe";"Terhulpen";"Commune";"Brabant wallon";"15,6";"7 344";471;"La Hulpe";
"Région wallonne";"Huy";"Hoei";"Ville";"Liège";"47,74";"20 295";425;"Ben-Ahin, Huy, Tihange";
"Région wallonne";"Incourt";"Incourt";"Commune";"Brabant wallon";"38,79";"4 739";122;"Glimes, Incourt, Opprebais, Piétrebais, Roux-Miroir";
"Région wallonne";"Ittre";"Itter";"Commune";"Brabant wallon";"34,92";"6 137";176;"Haut-Ittre, Ittre, Virginal-Samme";
"Région wallonne";"Jalhay";"Jalhay";"Commune";"Liège";"107,75";"8 040";75;"Jalhay, Sart";
"Région wallonne";"Jemeppe-sur-Sambre";"Jemeppe-sur-Sambre";"Commune";"Namur";"46,8";"18 162";388;"Balâtre, Ham-sur-Sambre, Jemeppe, Mornimont, Moustier, Onoz, Saint-Martin, Spy";
