code postal,insee,article,ville,ARTICLE,VILLE,libelle,region,nom region,dep,nom dep,longitude,latitude,codex,metaphone
1420,1118,,Corbonod,,CORBONOD,CORBONOD,82,RHONE-ALPES,1,Ain,45.96668,5.822204,C615,KRPNT
1110,1119,,Corcelles,,CORCELLES,CORCELLES,82,RHONE-ALPES,1,Ain,46.033465,5.573805,C624,KRSLS
1110,1121,,Corlier,,CORLIER,CORLIER,82,RHONE-ALPES,1,Ain,46.030208,5.498971,C646,KRLR
1110,1122,,Cormaranche-en-Bugey,,CORMARANCHE-EN-BUGEY,CORMARANCHE EN BUGEY,82,RHONE-ALPES,1,Ain,45.953941,5.612624,C656,KRMRNXNPJ
1290,1123,,Cormoranche-sur-Saône,,CORMORANCHE-SUR-SAONE,CORMORANCHE SUR SAONE,82,RHONE-ALPES,1,Ain,46.240167,4.831447,C656,KRMRNXSRSN
1560,1124,,Cormoz,,CORMOZ,CORMOZ,82,RHONE-ALPES,1,Ain,46.44799,5.232845,C652,KRMS
1250,1125,,Corveissiat,,CORVEISSIAT,CORVEISSIAT,82,RHONE-ALPES,1,Ain,46.243121,5.48208,C612,KRFST
1370,1127,,Courmangoux,,COURMANGOUX,COURMANGOUX,82,RHONE-ALPES,1,Ain,46.330588,5.369088,C655,KRMNKKS
1560,1128,,Courtes,,COURTES,COURTES,82,RHONE-ALPES,1,Ain,46.4593644,5.1009442,C632,KRTS
1320,1129,,Crans,,CRANS,CRANS,82,RHONE-ALPES,1,Ain,45.963685,5.191445,C652,KRNS
1340,1130,,Cras-sur-Reyssouze,,CRAS-SUR-REYSSOUZE,CRAS SUR REYSSOUZE,82,RHONE-ALPES,1,Ain,46.307899,5.164409,C626,KRSSRRSS
1350,1133,,Cressin-Rochefort,,CRESSIN-ROCHEFORT,CRESSIN ROCHEFORT,82,RHONE-ALPES,1,Ain,45.777611,5.76171,C625,KRSNRXFRT
1290,1134,,Crottet,,CROTTET,CROTTET,82,RHONE-ALPES,1,Ain,46.272727,4.896405,C633,KRTT
1750,1134,,Crottet,,CROTTET,CROTTET,82,RHONE-ALPES,1,Ain,46.2780159,4.8932696,C633,KRTT
1170,1135,,Crozet,,CROZET,CROZET,82,RHONE-ALPES,1,Ain,46.280031,6.015043,C623,KRST
1290,1136,,Cruzilles-lès-Mépillat,,CRUZILLES-LES-MEPILLAT,CRUZILLES LES MEPILLAT,82,RHONE-ALPES,1,Ain,46.223896,4.88182,C624,KRSLSLSMPLT
1350,1138,,Culoz,,CULOZ,CULOZ,82,RHONE-ALPES,1,Ain,45.848005,5.78753,C420,KLS
1560,1139,,Curciat-Dongalon,,CURCIAT-DONGALON,CURCIAT DONGALON,82,RHONE-ALPES,1,Ain,46.47461,5.159125,C623,KRSTTNKLN
1310,1140,,Curtafond,,CURTAFOND,CURTAFOND,82,RHONE-ALPES,1,Ain,46.271428,5.08886,C631,KRTFNT
1300,1141,,Cuzieu,,CUZIEU,CUZIEU,82,RHONE-ALPES,1,Ain,45.817213,5.683234,C200,KS
1120,1142,,Dagneux,,DAGNEUX,DAGNEUX,82,RHONE-ALPES,1,Ain,45.850729,5.074808,D252,TNKS
1220,1143,,Divonne-les-Bains,,DIVONNE-LES-BAINS,DIVONNE LES BAINS,82,RHONE-ALPES,1,Ain,46.35586,6.137995,D154,TFNLSPNS
1380,1144,,Dommartin,,DOMMARTIN,DOMMARTIN,82,RHONE-ALPES,1,Ain,46.337616,4.989823,D563,TMRTN
1240,1145,,Dompierre-sur-Veyle,,DOMPIERRE-SUR-VEYLE,DOMPIERRE SUR VEYLE,82,RHONE-ALPES,1,Ain,46.072233,5.203295,D516,TMPRSRFL
1400,1146,,Dompierre-sur-Chalaronne,,DOMPIERRE-SUR-CHALARONNE,DOMPIERRE SUR CHALARONNE,82,RHONE-ALPES,1,Ain,46.14172,4.907805,D516,TMPRSRXLRN
1270,1147,,Domsure,,DOMSURE,DOMSURE,82,RHONE-ALPES,1,Ain,46.419125,5.29461,D526,TMSR
1590,1148,,Dortan,,DORTAN,DORTAN,82,RHONE-ALPES,1,Ain,46.319515,5.66089,D635,TRTN
1500,1149,,Douvres,,DOUVRES,DOUVRES,82,RHONE-ALPES,1,Ain,45.989327,5.372536,D162,TFRS
1250,1150,,Drom,,DROM,DROM,82,RHONE-ALPES,1,Ain,46.218211,5.368049,D650,TRM
1160,1151,,Druillat,,DRUILLAT,DRUILLAT,82,RHONE-ALPES,1,Ain,46.059885,5.316055,D643,TRLT
1130,1152,,Échallon,,ECHALLON,ECHALLON,82,RHONE-ALPES,1,Ain,46.213274,5.738864,E245,AXLN
1170,1153,,Échenevex,,ECHENEVEX,ECHENEVEX,82,RHONE-ALPES,1,Ain,46.30924,6.03973,E251,AXNFKS
1340,1154,,Étrez,,ETREZ,ETREZ,82,RHONE-ALPES,1,Ain,46.33417,5.183955,E362,ATRS
1230,1155,,Évosges,,EVOSGES,EVOSGES,82,RHONE-ALPES,1,Ain,45.96067,5.49969,E122,AFSJS
1800,1156,,Faramans,,FARAMANS,FARAMANS,82,RHONE-ALPES,1,Ain,45.902979,5.125134,F655,FRMNS
1480,1157,,Fareins,,FAREINS,FAREINS,82,RHONE-ALPES,1,Ain,46.0187,4.761315,F652,FRNS
1550,1158,,Farges,,FARGES,FARGES,82,RHONE-ALPES,1,Ain,46.16769,5.90579,F622,FRJS
1570,1159,,Feillens,,FEILLENS,FEILLENS,82,RHONE-ALPES,1,Ain,46.334693,4.888951,F452,FLNS
1210,1160,,Ferney-Voltaire,,FERNEY-VOLTAIRE,FERNEY VOLTAIRE,82,RHONE-ALPES,1,Ain,46.276619,6.09891,F651,FRNFLTR
1350,1162,,Flaxieu,,FLAXIEU,FLAXIEU,82,RHONE-ALPES,1,Ain,45.808531,5.733923,F420,FLKS
1340,1163,,Foissiat,,FOISSIAT,FOISSIAT,82,RHONE-ALPES,1,Ain,46.37117,5.176583,F230,FST
1090,1165,,Francheleins,,FRANCHELEINS,FRANCHELEINS,82,RHONE-ALPES,1,Ain,46.073409,4.808608,F652,FRNXLNS
1480,1166,,Frans,,FRANS,FRANS,82,RHONE-ALPES,1,Ain,45.991585,4.77243,F652,FRNS
1140,1167,,Garnerans,,GARNERANS,GARNERANS,82,RHONE-ALPES,1,Ain,46.20588,4.840852,G656,KRNRNS
1090,1169,,Genouilleux,,GENOUILLEUX,GENOUILLEUX,82,RHONE-ALPES,1,Ain,46.119115,4.786415,G542,JNLKS
1460,1170,,GEOVREISSIAT,,GEOVREISSIAT,GEOVREISSIAT,82,RHONE-ALPES,1,Ain,46.189381,5.55573,G162,JFRST
1100,1171,,Géovreisset,,GEOVREISSET,GEOVREISSET,82,RHONE-ALPES,1,Ain,46.25552,5.617365,G162,JFRST
