RegAdm,Ville,NoAuto,Enseigne,AdrNumVoie,AdrComplement,AdrCommune,AdrCdPostal
H-NORMANDI,LE HAVRE,3-193.124,CLUB,99 AV FOCH,,LE HAVRE,76600
H-NORMANDI,LE HAVRE,3-193.115,LE GRILLON,15 RUE EDOUARD HERRIOT,,LE HAVRE,76600
H-NORMANDI,LE HAVRE,3-193.111,SIRIUS,5 RUE DUGUESCLIN,,LE HAVRE,76620
B-NORMANDI,HAUTEVILLE-SUR-MER,3-192.961,CINEMA DE LA PLAGE,34 RUE DE L AUMESLE,,MONTMARTIN SUR MER,50590
PICARDIE,HAM,3-190.281,LE MELIES,7 RUE DU THEATRE,,HAM,80400
PICARDIE,GUISE,3-188.762,VOX,RUE LESUR,,GUISE,2120
BRETAGNE,GUIPRY,3-188.681,ALLIANCE,22 RUE DE VANNES,,GUIPRY,35480
BRETAGNE,GUINGAMP,3-188.591,LES BALADINS GARANCE,6 RUE SAINT NICOLAS,,GUINGAMP,22200
BRETAGNE,GUICHEN,3-188.041,LE BRETAGNE,PEGUIN,,GUICHEN,35580
BRETAGNE,LA GUERCHE-DE-BRETAGNE,3-187.441,LE BRETAGNE,2 RUE DES SABLONNIERES,,LA GUERCHE DE BRETAGNE,35130
BRETAGNE,GUER,3-187.365,QUAI 56,AVENUE DU GENERAL DE GAULLE,,GUER,56380
BRETAGNE,GUER,3-187.364,LE BONAPARTE,ECOLE MILITAIRE,,GUER,56380
BRETAGNE,GUER,3-187.363,BELVEDER,5 RUE DE VERDUN,,GUER,56380
BRETAGNE,GUEMENE-SUR-SCORFF,3-187.201,SALLE ROCH,13 RUE ST ROCH,,GUEMENE SUR SCORFF,56160
PAYS-LOIRE,GUEMENE-PENFAO,3-187.191,L ODEON,7 PLACE DE L EGLISE,,GUEMENE PENFAO,44290
BRETAGNE,GROIX,3-186.232,LE KORRIGAN,3 RUE DU GRIPP,,GROIX,56590
B-NORMANDI,GRANVILLE,3-183.951,SELECT,7 BD D HAUTESERVE,BP 222,GRANVILLE CEDEX,50402
H-NORMANDI,LE GRAND-QUEVILLY,3-183.301,GAUMONT,26 BD PIERRE BROSSOLETTE,,LE GRAND QUEVILLY,76120
H-NORMANDI,GOURNAY-EN-BRAY,3-181.422,LES ECRANS,6 BIS PLACE NATIONALE,,GOURNAY EN BRAY,76220
BRETAGNE,GOURIN,3-181.351,JEANNE D ARC,RUE HUGOT DERVILLE,,GOURIN,56110
PAYS-LOIRE,GORRON,3-180.261,GORRON CINEMA,23 BOULEVARD FAVRIE,,GORRON,53120
H-NORMANDI,GONFREVILLE-L ORCHER,3-179.902,LA POINTE DE CAUX,RUE PIERRE GLENISSON,,GONFREVILLE L ORCHER,76700
CHAM-ARDEN,GIVET,3-178.423,LE MANEGE,PLACE JACQUES SOURDILLE,,GIVET,8600
H-NORMANDI,GISORS,3-178.231,JOUR DE FETE,74 RUE DE VIENNE,,GISORS,27140
CENTRE,GIEN,3-177.112,LE CLUB,PLACE DU PETIT CHATEAU,,GIEN,45500
H-NORMANDI,GAILLON,3-172.213,CIN'EVASION,AVENUE JEAN JAURES,,GAILLON,27600
BRETAGNE,GAHARD,3-172.070,SALLE POLYVALENTE,MAIRIE DE GAHARD,7 PLACE DE LA MAIRIE,GAHARD,35490
B-NORMANDI,GACE,3-171.881,LE TAHITI,AV DE TAHITI,,GACE,61230
BRETAGNE,FOUGERES,3-166.434,LE CLUB,FORUM DE LA GARE,ESPLANADE DES CHAUSSONNIERES,FOUGERES,35300
BRETAGNE,FOUGERES,3-166.413,LE CLUB,10 RUE DE BONABRY,,FOUGERES,35300
BRETAGNE,FOUESNANT,3-166.321,CINEMA ARMOR,80 RUE DE KERNEVELECK,,FOUESNANT,29170
PICARDIE,FORT-MAHON-PLAGE,3-165.801,VOX,"111,  AVENUE DE LA PLAGE",,FORT-MAHON-PLAGE,80120
H-NORMANDI,FORGES-LES-EAUX,3-165.383,ESPACE JEAN BAUCHET,ESPACE JEAN BAUCHET,RUE FRANCIS FER,FORGES LES EAUX,76440
B-NORMANDI,FLERS,3-160.923,VIKING,17-19 RUE ABBE LECORNU,,FLERS,61100
PAYS-LOIRE,LA FLECHE,3-160.742,LE KID,22 RUE ST JACQUES,,LA FLECHE,72200
PICARDIE,FERTE MILON,3-158.801,JEAN RACINE,1 RUE JEAN RACINE,,LA FERTE MILON,2460
B-NORMANDI,LA FERTE-MACE,3-158.783,GERARD PHILIPE,SAINT DENIS,,LA FERTE MACE,61600
PAYS-LOIRE,LA FERTE-BERNARD,3-158.701,LE PALACE,23 RUE DENFERT ROCHEREAU,,LA FERTE BERNARD,72400
PICARDIE,FERRIERES,3-158.480,SALLE POLYVALENTE,COMMUNE DE FERRIERE,RUE DE LA LIBERATION,FERRIERE,80470
H-NORMANDI,FECAMP,3-157.231,LE GRAND LARGE,PLACE BELLET,,FECAMP,76400
H-NORMANDI,FAUVILLE-EN-CAUX,3-156.392,SALLE LA ROTONDE,COMMUNE DE FAUVILLE EN CAUX,PLACE GASTON SANSON,FAUVILLE EN CAUX,76640
BRETAGNE,LE FAOUET,3-155.711,CINE ELLE LE FAOUET,41 RUE JEAN CORENTIN CARRE,,LE FAOUET,56320
B-NORMANDI,FALAISE,3-155.414,ENTRACTE,26 RUE AMIRAL COURBET,,FALAISE,14700
PAYS-LOIRE,EVRON,3-154.444,CINEMA YVES ROBERT,34 RUE DE LA FONTAINE,,EVRON,53601
PAYS-LOIRE,EVRON,3-154.441,SELECT 2,18 RUE DE LA GRANDE COUR,,EVRON,53600
H-NORMANDI,EVREUX,3-154.393,PATHE EVREUX,QUARTIER TILLY,3 RUE DU 7 EME CHASSEURS,EVREUX,27000
BRETAGNE,ETEL,3-153.083,LA RIVIERE,BD CHARLES DE GAULLE,,ETEL,56410
BRETAGNE,ETABLES-SUR-MER,3-152.732,LE KORRIGAN,4 BD LEGRIS,,ETABLES SUR MER,22680
BRETAGNE,ERQUY,3-149.552,ARMOR CINE,RUE DU CHEMIN VERT,,ERQUY,22430
PAYS-LOIRE,ERNEE,3-149.362,LE MAJESTIC,6 RUE LELIEVRE,,ERNEE,53500
B-NORMANDI,EQUEURDREVILLE-HAINNEVILLE,3-148.811,PALACE,PLACE HIPPOLYTE MARS,,EQUEURDREVILLE HAINNEVILLE,50120
CENTRE,EPERNON,3-148.024,LES PRAIRIALES,AVENUE DE LA PRAIRIE,,EPERNON,28230
CHAM-ARDEN,EPERNAY,3-147.971,PALACE,33 BOULEVARD DE LA MOTTE,,EPERNAY,51200
H-NORMANDI,ELBEUF,3-146.393,MERCURE,6 RUE PIERRE BROSSOLETTE,,ELBEUF,76500
PAYS-LOIRE,ECOMMOY,3-145.291,ZOOM 3,RUE STE ANNE,,ECOMMOY,72220
CENTRE,DREUX,3-142.995,CINE CENTRE,5 ESPLANADE DU CHAMP DE FOIRE,,DREUX,28100
B-NORMANDI,DOUVRES-LA-DELIVRANDE,3-142.371,LE FOYER,RUE DU CHEMIN DU BORD,,DOUVRES LA DELIVRANDE,14440
PICARDIE,DOULLENS,3-142.082,TIVOLI,2 RUE DE LAVARENNE,,DOULLENS,80600
BRETAGNE,DOUARNENEZ,3-141.712,REX,39 RUE LOUIS PASTEUR,,DOUARNENEZ,29100
BRETAGNE,DOUARNENEZ,3-141.711,LE CLUB,39 RUE BERTHELOT,,DOUARNENEZ,29100
PAYS-LOIRE,DONGES,3-141.031,ESPACE RENAISSANCE,11 RUE LAENNEC,,DONGES,44480
BRETAGNE,DOLO,3-139.660,SALLE POLYVALENTE,MAIRIE DE DOLO,LE BOURG,DOLO,22270
BRETAGNE,DOL-DE-BRETAGNE,3-139.503,CINE DOL,RUE DU LEGEARD,,DOL DE BRETAGNE,35120
B-NORMANDI,DIVES-SUR-MER,3-139.232,LE DRAKKAR,6 RUE DU GENERAL DE GAULLE,,DIVES SUR MER,14160
BRETAGNE,DINARD,3-138.922,2 ALIZES SALLE LA MOUETTE,2 BD ALBERT 1ER,,DINARD,35800
BRETAGNE,DINAN,3-138.901,VERS LE LARGE,ROUTE DE DINARD,,DINAN,22100
H-NORMANDI,DIEPPE,3-138.345,D S N  DIEPPE SCENE NATIONALE,QUAI BERIGNY,,DIEPPE,76200
H-NORMANDI,DIEPPE,3-138.334,REX,3 PLACE NATIONALE,,DIEPPE,76200
CENTRE,DESCARTES,3-137.481,LE RABELAIS,18 BIS RUE RABELAIS,,DESCARTES,37160
B-NORMANDI,DEAUVILLE,3-136.676,CENTRE INTERNATIONAL DEAUVILLE,RUE LUCIEN BARRIERE,BP 71100,DEAUVILLE,14801
B-NORMANDI,DEAUVILLE,3-136.672,LE MORNY,23 AV DU GENERAL DE GAULLE,,DEAUVILLE,14800
B-NORMANDI,DEAUVILLE,3-136.671,CASINO DE DEAUVILLE,RUE EDMOND BLANC,,DEAUVILLE,14800
CENTRE,DAMPIERRE-EN-BURLY,3-133.381,LE CLUB 2,SALLE POLYVALENTE,,DAMPIERRE EN BURLY,45570
BRETAGNE,DAMGAN,3-133.141,LES CARDINAUX,AVENUE PRAT GODET,,DAMGAN,56750
BRETAGNE,CROZON,3-130.633,REX,41 43 RUE DE LA CHALOTAIS,,CROZON,29160
PAYS-LOIRE,LE CROISIC,3-129.441,LE HUBLOT,PLACE DINAN,,LE CROISIC,44490
PICARDIE,CREIL,3-127.661,LA FAIENCERIE,ALLEE NELSON,,CREIL,60100
PICARDIE,CREIL,3-127.652,UNIVERS,36 AV JULES UHRY,,CREIL,60100
PICARDIE,CRECY-EN-PONTHIEU,3-127.571,LE CYRANO,PLACE DU 8 MAI 1945,,CRECY EN PONTHIEU,80150
B-NORMANDI,COUTANCES,3-126.311,LE LONG-COURT,5 RUE PAUL MAUNDRELL,,COUTANCES,50200
B-NORMANDI,COURSEULLES-SUR-MER,3-125.513,CINEMA DE LA GARE,PLACE DU 6 JUIN,,COURSEULLES SUR MER,14470
B-NORMANDI,CONDE-SUR-VIRE,3-119.123,SALLE DE CINEMA,COMMUNE DE CONDE SUR VIRE,2 PLACE AUGUSTE GRANDIN,CONDE SUR VIRE,80890
B-NORMANDI,CONDE-SUR-NOIREAU,3-119.054,ROYAL,PLACE DE L HOTEL DE VILLE,,CONDE SUR NOIREAU,14110
BRETAGNE,CONCARNEAU,3-118.495,CINEMA LE CELTIC,RUE DE COLGUEN,LE POTEAU VERT,CONCARNEAU,29900
PICARDIE,COMPIEGNE,3-118.295,C A C C V,QUARTIER DU PUY DU ROY,,COMPIEGNE,60200
PICARDIE,COMPIEGNE,3-118.281,LES DIANES 3,1 BIS PLACE ST JACQUES,,COMPIEGNE,60200
BRETAGNE,COMBOURG,3-117.742,CHATEAUBRIAND,RUE DE MALOUAS,,COMBOURG,35270
PAYS-LOIRE,CLISSON,3-115.334,LE CONNETABLE,ZAC ILOT CHAMP DE FOIRE,,CLISSON,44190
PAYS-LOIRE,CLISSON,3-115.332,LE CONNETABLE,RUE DES HALLES,,CLISSON,44190
PICARDIE,CLERMONT,3-114.523,SALLE LEBRUN,7 PLACE CORROYER,,CLERMONT,60600
PAYS-LOIRE,CHOLET,3-112.095,CINEMOVIDA,ZAC DE LA SARDINERIE,ARCADES ROUGES,CHOLET,49300
PAYS-LOIRE,CHOLET,3-112.075,REX,37 RUE DES VIEUX GRENIERS,,CHOLET,49300
CENTRE,CHINON,3-111.621,LE RABELAIS,31BIS PLACE DU GENERAL DE GAULLE,,CHINON,37500
B-NORMANDI,CHERBOURG,3-109.836,MEGA CGR,BOULEVARD FELIX AMIOT,,CHERBOURG,50100
B-NORMANDI,CHERBOURG,3-109.792,ODEON,51 RUE DU MARECHAL FOCH,,CHERBOURG,50100
PAYS-LOIRE,CHEMILLE,3-108.932,CLUB,RUE DES VENELLES,,CHEMILLE,49120
PICARDIE,CHAUNY,3-107.251,LUMIERE,PLACE YVES BRINON,,CHAUNY,2300
CHAM-ARDEN,CHAUMONT,3-107.033,EDEN,"4, RUE LARDIERE",,CHAUMONT,52000
CHAM-ARDEN,CHAUMONT,3-107.031,VOX,29 RUE VICTOIRE DE LA MARNE,,CHAUMONT,52000
CENTRE,LA CHATRE,3-106.291,LUX,PLACE DE LA MAIRIE,,LA CHATRE,36400
BRETAGNE,CHATILLON-EN-VENDELAIS,3-105.931,LE VENDELAIS,CINEMA LE VENDELAIS,1 PLACE DE L EGLISE,CHATILLON EN VENDELAIS,35210
PICARDIE,CHATEAU THIERRY,3-104.994,CINEMA THEATRE,13 PLACE DE L HOTEL DE VILLE,,CHATEAU THIERRY,2400
CENTRE,CHATEAUROUX,3-104.881,CINEMOVIDA,86 AVENUE CHARLES DE GAULLE,,CHATEAUROUX,36000
CENTRE,CHATEAUROUX,3-104.863,APOLLO,4 RUE ALBERT 1ER,,CHATEAUROUX,36000
CENTRE,CHATEAU-RENAULT,3-104.851,LE BALZAC,16 PLACE ARISTIDE BRIAND,,CHATEAU RENAULT,37110
CENTRE,CHATEAU-RENARD,3-104.801,VOX,28 PLACE DU VIEUX MARCHE,,CHATEAURENARD,45220
CENTRE,CHATEAUNEUF-EN-THYMERAIS,3-104.622,SALLE DES FETES,AVENUE DE LA REPUBLIQUE,,CHATEAUNEUF EN THYMERAIS,28170
BRETAGNE,CHATEAULIN,3-104.391,AGORA,5 PLACE DE LA RESISTANCE,,CHATEAULIN,29150
PAYS-LOIRE,CHATEAU-GONTIER,3-104.301,PALACE,3 PLACE DU PILORI,,CHATEAU GONTIER,53200
BRETAGNE,CHATEAUGIRON,3-104.282,PARADISIO,2 RUE SAINTE CROIX,,CHATEAUGIRON,35410
CENTRE,CHATEAUDUN,3-104.181,LE DUNOIS,17 RUE DE VARIZE,,CHATEAUDUN,28200
PAYS-LOIRE,CHATEAU-DU-LOIR,3-104.164,ES RECOLLETS,RUE DU THEATRE,,CHATEAU DU LOIR,72500
PAYS-LOIRE,CHATEAUBRIANT,3-104.051,ATLANTIC CINE,PLACE ERNEST BREANT,,CHATEAUBRIANT,44110
BRETAGNE,CHATEAUBOURG,3-104.032,ETOILE,RUE DES TOURS CARREES,,CHATEAUBOURG,35220
BRETAGNE,CHARTRES-DE-BRETAGNE,3-103.201,CINE ESPERANCE CTRE CULTUREL,3 RUE DE LA CONTERIE,,CHARTRES DE BRETAGNE,35131
CENTRE,CHARTRES,3-103.166,CINEPARADIS,13 PLACE DE LA PORTE ST MICHEL,,CHARTRES,28000
CHAM-ARDEN,CHARLEVILLE MEZIERES,3-102.246,METROPOLIS,ZAC MONTJOLY,RUE LONGUEVILLE,CHARLEVILLE-MEZIERES,8000
PAYS-LOIRE,LA CHAPELLE-BASSE-MER,3-099.631,JACQUES DEMY,RUE DU STADE,,SAINT JULIEN DE CONCELLES,44450
PICARDIE,CHANTILLY,3-099.031,ELYSEE,25 AVENUE DU MARECHAL JOFFRE,,CHANTILLY,60500
CENTRE,CHAMBRAY-LES-TOURS,3-096.950,SALLE YVES RENAULT,4 RUE JEAN PERRIN,,CHAMBRAY-LES-TOURS,37170
CHAM-ARDEN,CHALONS-EN-CHAMPAGNE,3-095.006,LA COMETE,5 RUE DES FRIPIERS,,CHALONS-EN-CHAMPAGNE,51000
CHAM-ARDEN,CHALONS-EN-CHAMPAGNE,3-094.997,CINE MAJESTIC,ZAC DES ESCARNOTIERES,RUE AUGUSTIN FRESNEL,CHALONS-EN-CHAMPAGNE,51000
CHAM-ARDEN,CHALONS-EN-CHAMPAGNE,3-094.971,CINEMA BERNARD BLIER-SALLE 1 À 6  (EX-LE CASINO),2 RUE LOCHET,,CHALONS SUR MARNE,51000
PAYS-LOIRE,CHALONNES-SUR-LOIRE,3-094.922,ESPACE CINE,RUE FELIX FAURE,,CHALONNES SUR LOIRE,49290
CHAM-ARDEN,CHALINDREY,3-094.711,FAMILIAL,RUE DIDEROT,,CHALINDREY,52600
BRETAGNE,CESSON-SEVIGNE,3-093.201,LE SEVIGNE,43 RUE DU MUGUET,,CESSON SEVIGNE,35510
H-NORMANDI,CAUDEBEC-EN-CAUX,3-089.481,LE PARIS,3 RUE ARISTIDE CAUCHOIS,,CAUDEBEC EN CAUX,76490
PAYS-LOIRE,CARQUEFOU,3-086.832,THEATRE DE DION,ROUTE DE SUCE,,CARQUEFOU,44470
BRETAGNE,CARNAC,3-086.561,REX,21 AVENUE MILN,,CARNAC,56340
BRETAGNE,CARHAIX-PLOUGUER,3-086.353,LE GRAND BLEU,CENTRE CULTUREL,,CARHAIX PLOUGUER,29270
B-NORMANDI,CARENTAN,3-086.313,LE COTENTIN,RUE HOLGATE,,CARENTAN,50500
BRETAGNE,CARANTEC,3-085.902,ETOILE,11 RUE DUQUESNE,,CARANTEC,29660
H-NORMANDI,CANTELEU,3-084.981,ESPACE CULTUREL FRANCOIS MITTERRAND,PARC GEORGES PIERRE,,CANTELEU,76380
BRETAGNE,CANCALE,3-084.292,DUGUESCLIN,5 IMPASSE ST MEEN,,CANCALE,35260
PAYS-LOIRE,CAMPBON,3-083.601,VICTORIA,RUE SAINT VICTOR,AU BOURG,CAMPBON,44750
BRETAGNE,CAMARET-SUR-MER,3-082.762,ROCAMADOUR,RUE DU ROZ,,CAMARET SUR MER,29129
BRETAGNE,CALLAC,3-082.392,CINEMA D ARGOAT  EX CENTRAL,4 RUE DU CLEUMEUR,,CALLAC DE BRETAGNE,22160
B-NORMANDI,CAEN,3-081.451,CINEMA LUX  ( EX STUDIO DU 7EME ART),AV SAINTE THERESE,,CAEN,14000
B-NORMANDI,CAEN,3-081.414,SALLE PIERRE DAURE,UNIVERSITE DE CAEN,,CAEN,14000
B-NORMANDI,CAEN,3-081.404,PATHE LUMIERE,15 BOULEVARD DU MARECHAL LECLERC,,CAEN,14000
B-NORMANDI,CABOURG,3-080.982,CASINO,PROMENADE MARCEL PROUST,,CABOURG,14390
B-NORMANDI,CABOURG,3-080.981,LE NORMANDIE,9 AV PIAT,,CABOURG,14390
CENTRE,BUZANCAIS,3-080.572,CENTRE CULTUREL,RUE DES PONTS,,BUZANCAIS,36500
BRETAGNE,BRUZ,3-077.732,CENTRE CULTUREL DU GRAND LOGIS, 10 AVENUE DU GENERAL DE GAULLE,,BRUZ,35171
B-NORMANDI,BRICQUEBEC,3-074.471,LE DONJON,PLACE SAINTE ANNE,,BRICQUEBEC,50260
B-NORMANDI,BRETTEVILLE-SUR-LAIZE,3-073.582,NORMANDY,PLACE DE LA MAIRIE,,BRETTEVILLE,14680
B-NORMANDI,BRETTEVILLE-SUR-LAIZE,3-073.581,SLE COMMUNALE NORMANDY CINE,PLACE DE LA MAIRIE,,BRETTEVILLE SUR LAIZE,14680
BRETAGNE,BREST,3-073.099,LES STUDIOS,136 RUE JEAN JAURES,,BREST,29200
BRETAGNE,BREST,3-073.098,OCEANOPOLIS,OCEANOPOLIS,PORT DE PLAISANCE  MOULIN BLANC,BREST,29200
BRETAGNE,BREST,3-073.083,CINE LIBERTE,10 AVENUE GEORGES CLEMENCEAU,,BREST,29200
BRETAGNE,BREST,3-073.021,CELTIC,187 RUE JEAN JAURES,,BREST,29200
BRETAGNE,BREST,3-073.013,MAC ORLAN,65 RUE DE LA PORTE,,BREST,29200
BRETAGNE,BREAL-SOUS-MONTFORT,3-071.942,LA BOBINE,7 RUE JEANNE D ARC,,BREAL SOUS MONTFORT,35310
CENTRE,BOURGUEIL,3-068.563,SALLE DES FETES,COMMUNE DE BOURGUEIL,8 RUE DU PICARD,BOURGUEIL,34140
CENTRE,BOURGUEIL,3-068.562,ABBAYE DE BOURGUEIL,AVENUE ARTHUR-LE-JOUTEUX,,BOURGUEIL,37140
CENTRE,BOURGUEIL,3-068.561,FAMILIA,MAIL ORYE,,BOURGUEIL,37140
PAYS-LOIRE,LE BOURGNEUF-LA-FORET,3-068.371,LE TRIANON,40 RUE DE LA MAIRIE,,BOURGNEUF LA FORET,53410
CENTRE,BOURGES,3-068.058,JACQUES COEUR,25 RUE LITTRE,,BOURGES,18000
CENTRE,BOURGES,3-068.046,MEGA CGR,ZAC DU PRADO,,BOURGES,18000
CENTRE,BOURGES,3-068.025,LE CINEMA,PLACE ANDRE MALRAUX,,BOURGES,18000
CHAM-ARDEN,BOURBONNE-LES-BAINS,3-067.324,CASINO DE BOURBONNE,1 PLACE DES BAINS,,BOURBONNE-LES-BAINS,52400
PAYS-LOIRE,BOUGUENAIS,3-065.861,LE BEAULIEU,26 RUE DE BEAULIEU,,BOUGUENAIS,44340
CENTRE,BONNEVAL,3-062.143,SALLES DES FETES,COMMUNE DE BONNEVAL,19 RUE ST ROCH,BONNEVAL,28800
H-NORMANDI,BOLBEC,3-061.082,LE XENON,60 RUE GUILLET,,BOLBEC,76210
PICARDIE,BOHAIN EN VERMANDOIS,3-059.351,LOUIS JOUVET,"6, RUE CURIE",,BOHAIN EN VERMANDOIS,2110
B-NORMANDI,BLONVILLE-SUR-MER,3-058.841,L AMBIANCE,3 PLACE GASTON LEJUMEL,,BLONVILLE SUR MER,14910
CENTRE,BLOIS,3-058.773,CAP' CINE,RUE DES ONZE ARPENTS,,BLOIS,41000
CENTRE,BLOIS,3-058.735,LES LOBIS,12 AVENUE MAUNOURY,,BLOIS,41000
CENTRE,LE BLANC,3-057.473,STUDIO REPUBLIQUE,42 RUE DE LA REPUBLIQUE,,LE BLANC,36300
PAYS-LOIRE,BLAIN,3-057.221,CINEMA ST LAURENT,9 RUE DU 11 NOVEMBRE,,BLAIN,44130
BRETAGNE,BETTON,3-053.461,TRISKEL,2 RUE DU TREGOR,,BETTON,35830
PAYS-LOIRE,LA BERNERIE-EN-RETZ,3-050.901,SALLE JEANNE D ARC,15 RUE DE LA MER,,LA BERNERIE EN RETZ,44760
H-NORMANDI,BERNAY,3-050.833,REX,33 RUE LOBROT,,BERNAY,27300
H-NORMANDI,BERNAY,3-050.831,LE PIAF,11 BD DUBUS,,BERNAY,27300
BRETAGNE,BENODET,3-049.632,CINEMARINE,AVENUE DE LA PLAGE,,BENODET,29118
PICARDIE,BEAUVAIS,3-045.877,CINESPACE,16 RUE CORRÉUS,,BEAUVAIS,60000
PICARDIE,BEAUVAIS,3-045.876,AGNES VARDA,8 AV DE BOURGOGNE,,BEAUVAIS,60000
PICARDIE,BEAUVAIS,3-045.871,LES VARIETES,32 RUE CARNOT,,BEAUVAIS,60000
PICARDIE,BEAUVAIS,3-045.861,LES LUMIERES,4 RUE DE L ABBE DUBOS,,BEAUVAIS,60000
PAYS-LOIRE,BEAUPREAU,3-045.372,CINEMA JEANNE D ARC,RUE JEANNE D ARC,,BEAUPREAU,49600
PICARDIE,BEAUMETZ,3-044.660,SALLE GERARD DE BERNY,MAIRIE,18 RUE PRINCIPALE,BEAUMETZ,80370
CENTRE,BEAUGENCY,3-044.131,ABC LE DUNOIS,11 RUE DE LA MAILLE D OR,,BEAUGENCY,45190
B-NORMANDI,BAYEUX,3-042.621,MELIES,10/12 RUE GENAS DUHOMME,,BAYEUX,14400
PAYS-LOIRE,LA BAULE-ESCOUBLAC,3-042.075,GULF STREAM,52 AV DU GENERAL DE GAULLE,,LA BAULE,44500
PAYS-LOIRE,LA BAULE-ESCOUBLAC,3-042.071,LE PALACE,155 AV DU GENERAL DE GAULLE,,LA BAULE,44500
PAYS-LOIRE,BAUGE,3-042.011,STELLA CINE,9 RUE DU PRESBYTERE,,BAUGE,49150
BRETAGNE,BAUD,3-041.781,LE CELTIC,1 RUE DE LA LIBERATION,,BAUD,56150
PAYS-LOIRE,BATZ-SUR-MER,3-041.741,LE PALUDIER,6 RUE DU 19 MARS 1962,BP 34,BATZ SUR MER,44740
PAYS-LOIRE,BASSE-GOULAINE,3-040.700,CINE POLE SUD,SCI MAPHI, CENTRE CCIAL  POLE SUD,BASSE GOULAINE,44115
CHAM-ARDEN,BAR-SUR-AUBE,3-040.293,LE VAGABOND SALLE,3 BIS BD DE LA REPUBLIQUE,,BAR SUR AUBE,10200
B-NORMANDI,BARNEVILLE-CARTERET,3-039.662,SELECT,AV DE LA REPUBLIQUE,,BARNEVILLE CARTERET,50270
BRETAGNE,BAIN-DE-BRETAGNE,3-036.602,LE SCENARIO,CINEMA LE SCENARIO,RUE DU CHENE VERT,BAIN DEBRETAGNE,35470
CENTRE,BAILLEAU-LE-PIN,3-036.300,SALLE CULTURELLE,COMITE DES FETES,MAIRIE -  RUE DE L'EGLISE,BAILLEAU LE PIN,28120
B-NORMANDI,BAGNOLES DE L ORNE,3-036.071,CASINO DU LAC,6 AVENUE ROBERT  COUSIN,,BAGNOLES DE L ORNE,61140
B-NORMANDI,AVRANCHES,3-034.182,STAR,49 RUE DE LA CONSTITUTION,,AVRANCHES,50300
BOURGOGNE,AVALLON,3-033.124,VAUBAN 3,MAIRIE D'AVALLON,39 GRANDE RUE A. BRIAND,AVALLON,89200
BOURGOGNE,AVALLON,3-033.122,VAUBAN,1 RUE DU MARECHAL FOCH,,AVALLON,89200
BOURGOGNE,AUXERRE,3-032.651,MEGA CGR CASINO,1 BOULEVARD DU 11 NOVEMBRE,,AUXERRE,89000
BRETAGNE,AURAY,3-030.891,LES ARCADES,8 RUE DU LEVENANT,,AURAY,56400
CENTRE,AUNEAU,3-030.772,FOYER CULTUREL,COMMUNE D'AUNEAU,COLLECTIVITE LOCALE BP 90,AUNEAU,28700
B-NORMANDI,AUNAY-SUR-ODON,3-030.761,CINEMA PARADISO THEATRE,RUE DE VERDUN,,AUNAY SUR ODON,14260
H-NORMANDI,AUMALE,3-030.482,CHANTECLER,25 BD DES FONTAINES,,AUMALE,76390
BRETAGNE,AUDIERNE,3-029.373,CINE GOYEN,13 RUE LOUIS PASTEUR,,AUDIERNE,29113
CENTRE,AUBIGNY-SUR-NERE,3-028.732,ATOMIC,23 RUE DU PRIEURE,,AUBIGNY SUR NERE,18700
BRETAGNE,ARZON,3-026.402,LA LOCOMOTIVE,PLACE DE L'ANCIENNE GARE,,ARZON,56640
CENTRE,ARGENT-SUR-SAULDRE,3-023.561,L'ARGENTIS (EX-MODERN'CINEMA),PLACE NICOLAS LEBLANC,,ARGENT SUR SAULDRE,18410
BRETAGNE,ARGENTRE-DU-PLESSIS,3-023.541,CIN EVASION, 6 RUE AMBROISE PARE,,ARGENTRE DU PLESSIS,35370
CENTRE,ARGENTON-SUR-CREUSE,3-023.513,EDEN PALACE,8 RUE BARBES,BP 169,ARGENTON SUR CREUSE,36200
B-NORMANDI,ARGENTAN,3-023.241,NORMANDY,13 RUE MEHEUDIN,,ARGENTAN,61200
PAYS-LOIRE,ANGERS,3-018.866,GAUMONT,ZAC SAINT SERGE,AVENUE DES DROITS DE L'HOMME,ANGERS,49000
PAYS-LOIRE,ANGERS,3-018.861,LES 400 COUPS,12 RUE CLAVEAU,,ANGERS,49000
PAYS-LOIRE,ANGERS,3-018.802,GAUMONT VARIETES,34/44 BOULEVARD DU MARECHAL FOCH,,ANGERS,49000
CENTRE,ANET,3-018.701,NORMANDIE,6 RUE DESIRE ROUSSEL,,ANET,28260
H-NORMANDI,LES ANDELYS,3-018.291,PALACE,19 R SELLENICK / AV REPUBLIQUE,,LES ANDELYS,27700
BRETAGNE,ANDEL,3-018.180,SALLE DU VIEUX MOULIN,COMMUNE D'ANDEL,MAIRIE 7 RUE ABBE HINGANT,ANDEL,22400
PAYS-LOIRE,ANCENIS,3-017.802,EDEN,67 RUE ST FIACRE,,ANCENIS,44150
PICARDIE,AMIENS,3-017.326,GAUMONT,5 BOULEVARD DE BELFORT,,AMIENS,80000
PICARDIE,AMIENS,3-017.325,CINE SAINT LEU,5-9 RUE DE LA PLUMETTE,,AMIENS,80000
PICARDIE,AMIENS,3-017.303,STUDIO ORSON WELLES (EX-PETIT THEATRE),2 PLACE LEON GONTIER,,AMIENS,80000
CENTRE,AMBOISE,3-016.803,CINEA,3 PLACE ST DENIS,,AMBOISE,37400
