RegAdm,Ville,NoAuto,Enseigne,AdrNumVoie,AdrComplement,AdrCommune,AdrCdPostal
LANG-ROUSS,PERPIGNAN,7-307.512,RIVE GAUCHE,29 QUAI VAUBAN,,PERPIGNAN,66000
LANG-ROUSS,PERPIGNAN,7-307.502,CASTILLET 1,1 BOULEVARD WILSON,,PERPIGNAN,66000
PACA,PEONE,7-306.601,LE DAHUT,RUE LA MAISON VALBERGANE,VALBERG,PEONE,6470
PACA,LES PENNES-MIRABEAU,7-306.521, PATHE,CHEMIN DES  PENNES AUX PINS,PLAN DE CAMPÄGNE,LES PENNES MIRABEAU,13170
LANG-ROUSS,PALAVAS-LES-FLOTS,7-302.596,LE NAUTILUS,PLACE RAIMU,,PALAVAS LES FLOTS,34250
LANG-ROUSS,OSSEJA,7-300.171,LE PUIGMAL,PLACE SAINT PAUL,,OSSEJA,66340
PACA,ORRES,7-299.451,L UBAC,PLACE EMILE HODOUL,,LES ORRES,5200
PACA,ORCIERES,7-298.142,POOM,CENTRE SPORTIF,,ORCIERES,5170
PACA,ORCIERES,7-298.141,LES ECRINS,MAISON DU TOURISME,,ORCIERES,5170
PACA,ORANGE,7-297.871,FORUM,RUE DU PARLEMENT,,ORANGE,84100
PACA,NOVES,7-294.314,L EDEN,RUE DU 19 MARS,,NOVES,13550
LANG-ROUSS,NIMES,7-291.014,FORUM KINEPOLIS,130 RUE MICHEL DEBRE,,NIMES,30900
LANG-ROUSS,NIMES,7-290.975,LE SEMAPHORE,25 RUE PORTE DE FRANCE,,NIMES,30900
LANG-ROUSS,NIMES,7-290.933,FORUM,3 RUE POISE,,NIMES,30000
PACA,NICE,7-290.363,PATHE PARIS,54 AVENUE JEAN MEDECIN,,NICE,6000
PACA,NICE,7-290.191,PATHE LINGOSTIERE,604 ROUTE DE GRENOBLE,,NICE,6200
PACA,NICE,7-290.093,MERCURY,16 PLACE GARIBALDI,,NICE,6300
PACA,NICE,7-290.064,THEATRE LINO VENTURA,168 BD DE L'ARIANE,,NICE,6300
PACA,NICE,7-290.063,JEAN VIGO,31 RUE LOUIS DE COPPET,,NICE,6000
PACA,NICE,7-290.044,PATHE MASSENA,31 AVENUE JEAN MEDECIN,,NICE,6000
