ID,id_client,Selection,osm_id,osm_type,poi_name,geo_lat,geo_lng,tbl_cat_poi,cat_name,address_1,postcode,town,ANN_NOM,CATEGORIE_LIBELLE,QUARTIER_LIBELLE,ANN_TELEPHONE,ANN_FAX,ANN_COURRIEL,ANN_SITEINTERNET,ANN_STATIONNEMENT,ANN_POINTADRESSE,ANN_GPS,ANN_ADDR_NUMERO,ANN_ADDR_SUFFIXE,ANN_ADDR_VOIETYPE,ANN_ADDR_NOMVOIE,ANN_ADDR_COMPLEMENTAIRE,ANN_ADDR_CODEPOSTAL,ANN_ADDR_VILLE,ANN_ADDR_CEDEX,ANN_AME_ACCESSIBILITEGENERALE,ANN_AME_TOILETTE,ANN_AME_ASCENSEUR,ANN_AME_PLACESTATIONNEMENT,ANN_AME_ACCESSIBILITESTATIONNEMENT,ANN_ACCES_PRECISION,ANN_ACCES_TRAM,ANN_ACCES_BUS,ANN_COMMENTAIRE,ANN_ENSAVOIRPLUS
699776,55,,595154632,1,Ecole Élémentaire Eugène Pottier,43.6265161,3.8639225,10410,#EDUCATION#ECOLE#PRIMAIRE,Rue de la Jalade,34000,MONTPELLIER,Ecole Élémentaire Eugène Pottier,Ecoles Élémentaires,Hôpitaux - Facultés,04 67 63 35 68,,,,,NULL,NULL,120,NULL,rue de la Jalade,NULL,,34090,Montpellier,,,,,,,NULL,,,<p>Â </p>,NULL
699543,266,,595157136,1,Ecole Élémentaire Jean Sibélius,43.6266559,3.8637615,10410,#EDUCATION#ECOLE#PRIMAIRE,Rue de la Jalade,34000,MONTPELLIER,Ecole Élémentaire Jean Sibelius,Ecoles Élémentaires,Hôpitaux - Facultés,04 67 63 51 39,,,,,NULL,NULL,120,NULL,rue de la Jalade,NULL,,34090,Montpellier,,,,,,,NULL,,,<p>Â </p>,NULL
699785,140,,595269930,1,Ecole Élémentaire Roosevelt,43.6271641,3.819728,10410,#EDUCATION#ECOLE#PRIMAIRE,Rue de Lausanne,34000,MONTPELLIER,Ecole Élémentaire Roosevelt,Ecoles Élémentaires,Mosson,04 67 75 42 88,,,,,NULL,NULL,25,NULL,rue de Lausanne,NULL,,34080,Montpellier,,,,,,,NULL,,,<p>Â </p>,NULL
699562,332,,595293655,1,Ecole maternelle Vincent Van Gogh,43.6271825,3.8192221,10410,#EDUCATION#ECOLE#PRIMAIRE,Rue d'Oxford,34000,MONTPELLIER,Ecole maternelle Vincent-Van-Gogh,Ecoles maternelles,Mosson,04 67 75 36 46,,,,,NULL,NULL,242,NULL,rue d'Oxford,NULL,,34080,Montpellier,,,,,,,NULL,,,,NULL
699552,327,,598146060,1,Ecole maternelle James Joyce,43.6273677,3.8181963,10410,#EDUCATION#ECOLE#PRIMAIRE,Rue de Bologne,34000,MONTPELLIER,Ecole maternelle James-Joyce,Ecoles maternelles,Mosson,04 67 75 34 87,,,,,NULL,NULL,122,NULL,rue de Bologne,NULL,,34080,Montpellier,,,,,,,NULL,,,,NULL
699832,61,,590302453,1,Ecole Élémentaire André Boulloche,43.6276873,3.8198497,10410,#EDUCATION#ECOLE#PRIMAIRE,Rue de Lausanne,34000,MONTPELLIER,Ecole Élémentaire André  Boulloche,Ecoles Élémentaires,Mosson,04 67 75 37 33,,,,,NULL,NULL,123,NULL,rue de  Lausanne,NULL,,34080,Montpellier,,,,,,,NULL,,,<p>Â </p>,NULL
699483,499,,595266536,1,Ecole Élémentaire Léopold Sédar Senghor,43.6279873,3.818183,10410,#EDUCATION#ECOLE#PRIMAIRE,Rue de Bologne,34000,MONTPELLIER,Ecole Élémentaire Léopold Sedar Senghor,Ecoles Élémentaires,Mosson,04 67 75 34 79,,,,,NULL,NULL,26,NULL,rue de Bologne,NULL,,34080,Montpellier,,,,,,,NULL,,,,NULL
699655,80,,598148476,1,Ecole maternelle Virginia Woolf,43.6281599,3.8194086,10410,#EDUCATION#ECOLE#PRIMAIRE,Rue de Bari,34000,MONTPELLIER,Ecole maternelle Virginia-Woolf,Ecoles maternelles,Mosson,04 67 75 37 34,,,,,NULL,NULL,255,NULL,rue de Bari,NULL,,34080,Montpellier,,,,,,,NULL,,,,NULL
699728,333,,598115061,1,Ecole maternelle Marguerite Yourcenar,43.633904,3.8309689,10410,#EDUCATION#ECOLE#PRIMAIRE,"71, rue Jean-Joseph Laborde",34000,MONTPELLIER,Ecole maternelle Marguerite-Yourcenar,Ecoles maternelles,Hôpitaux - Facultés,04 67 57 06 90,,,,,NULL,NULL,71,NULL,rue Jean Joseph Laborde,NULL,,34000,Montpellier,,,,,,,NULL,,,<p>Â </p>,NULL
699597,268,,598115060,1,Ecole Élémentaire Yourcenar/Mitterrand,43.6340282,3.8308296,10410,#EDUCATION#ECOLE#PRIMAIRE,"71, rue Jean-Joseph Laborde",34000,MONTPELLIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699381,269,,26605142,2,Ecole Élémentaire François Rabelais,43.6343715335709,3.82767963569582,10410,#EDUCATION#ECOLE#PRIMAIRE,"48, rue Emmanuelle Here",34000,MONTPELLIER,Ecole Élémentaire François Rabelais,Ecoles Élémentaires,Hôpitaux - Facultés,04 67 61 29 30,,,,,NULL,NULL,48,NULL,rue Emmanuel Here,NULL,,34070,Montpellier,,,,,,,NULL,,,,NULL
