;"Code Insee";"Code postal";"Commune";"Population";"Superficie";"Densité"
2;34285;34230;"Saint-Pons-de-Mauchiens";;;
2;34284;34220;"Saint-Pons-de-Thomières";;;
2;34286;34700;"Saint-Privat";;;
2;34287;34725;"Saint-Saturnin-de-Lucian";;;
2;34288;34400;"Saint-Sériès";;;
2;34289;34630;"Saint-Thibéry";;;
2;34290;34730;"Saint-Vincent-de-Barbeyrargues";;;
2;34291;34390;"Saint-Vincent-d'Olargues";;;
2;34292;34800;"Salasc";;;
2;34293;34330;"La Salvetat-sur-Agout";;;
2;34294;34400;"Saturargues";;;
2;34295;34570;"Saussan";;;
2;34296;34160;"Saussines";;;
2;34297;34270;"Sauteyrargues";;;
2;34298;34410;"Sauvian";;;
2;34299;34410;"Sérignan";;;
2;34300;34290;"Servian";;;
2;34301;34200;"Sète";;;
2;34302;34210;"Siran";;;
2;34303;34520;"Sorbs";;;
2;34304;34700;"Soubès";;;
2;34305;34330;"Le Soulié";;;
2;34306;34700;"Soumont";;;
2;34307;34160;"Sussargues";;;
2;34308;34600;"Taussac-la-Billière";;;
2;34309;34820;"Teyran";;;
2;34310;34490;"Thézan-lès-Béziers";;;
2;34311;34120;"Tourbes";;;
2;34312;34260;"La Tour-sur-Orb";;;
2;34313;34230;"Tressan";;;
2;34314;34270;"Le Triadou";;;
2;34315;34230;"Usclas-d'Hérault";;;
2;34316;34700;"Usclas-du-Bosc";;;
2;34317;34520;"La Vacquerie-et-Saint-Martin-de-Castries";;;
2;34318;34270;"Vacquières";;;
2;34319;34320;"Vailhan";;;
2;34320;34570;"Vailhauquès";;;
2;34321;34130;"Valergues";;;
2;34322;34270;"Valflaunès";;;
2;34323;34800;"Valmascle";;;
2;34324;34350;"Valras-Plage";;;
2;34325;34290;"Valros";;;
2;34326;34220;"Vélieux";;;
2;34327;34740;"Vendargues";;;
2;34328;34230;"Vendémian";;;
2;34329;34350;"Vendres";;;
2;34330;34400;"Vérargues";;;
2;34331;34220;"Verreries-de-Moussans";;;
2;34332;34450;"Vias";;;
2;34333;34110;"Vic-la-Gardiole";;;
2;34334;34390;"Vieussan";;;
2;34335;34600;"Villemagne-l'Argentière";;;
2;34336;34420;"Villeneuve-lès-Béziers";;;
2;34337;34750;"Villeneuve-lès-Maguelone";;;
2;34338;34800;"Villeneuvette";;;
2;34339;34360;"Villespassans";;;
2;34340;34400;"Villetelle";;;
2;34341;34560;"Villeveyrac";;;
2;34342;34380;"Viols-en-Laval";;;
2;34343;34380;"Viols-le-Fort";;;
